portfolio_id	target_return	realized_return	risk	alloc_AAPL	alloc_AMZN	alloc_GOOGL	alloc_META	alloc_MSFT	alloc_NVDA
22	0.03142722957633699	0.03142722961356295	0.050893862311401375	0.32823346100119716	0.08696775910830566	0.22492584402429974	0.07155149796452513	0.09866199969345403	0.18965943820821832
23	0.031904267207805016	0.031904267205340016	0.05143716686784693	0.32525249608768125	0.08506819580989111	0.2261307563337485	0.07298193196658005	0.0913876747700823	0.19917894503201666
24	0.03238130483927304	0.03238130483124589	0.0519927175907702	0.3222976081510358	0.08315714817189115	0.22736903668973704	0.07439536711108519	0.08406930099068657	0.20871153888556426
25	0.03285834247074107	0.03285834250934667	0.0525601133048812	0.31936609823764506	0.08123660290287427	0.2286409362764265	0.07579334531672735	0.07670719729977904	0.21825581996654783
26	0.033335380102209086	0.03333538006979987	0.05313896007473524	0.3164554124254346	0.079308509926409	0.229947067930703	0.0771772813030827	0.06930126193982411	0.22781046647454664
27	0.033812417733677116	0.03381241772582877	0.053728868898894624	0.31356173689850686	0.07737666495359033	0.23129237751828588	0.0785469419606985	0.06184783188507122	0.23737444678384728
28	0.03428945536514514	0.03428945533508618	0.05432956607043546	0.31068880063970195	0.07543192772176203	0.23264662594313004	0.07990432181063564	0.05437937196415055	0.24694895192061983
29	0.03476649299661316	0.034766492977366927	0.054940518435800584	0.3078283595142842	0.07348877594168754	0.23405024342389452	0.08125538229903503	0.0468496771062866	0.256527561714812
30	0.035243530628081186	0.0352435306337418	0.055561472482767285	0.3049802809026338	0.07154336223523883	0.2354845292120822	0.08259578329000695	0.03928304421526972	0.2661130001447684
31	0.03572056825954921	0.03572056831174637	0.056192079144675944	0.30214322176019254	0.06959655860200313	0.23694909043040827	0.08392771266720302	0.031679487168938	0.27570392937125515
32	0.03619760589101724	0.03619760587121347	0.05683200665001541	0.2993156463251962	0.06764933638269839	0.2384434048253406	0.08525225249567568	0.024039877763227586	0.2852994822078616
33	0.036674643522485256	0.03667464356528899	0.05748093540744776	0.2964960943007911	0.06570256855251962	0.23996672385454065	0.08657034191929736	0.016365377292962988	0.2948988940798883
34	0.037151681153953287	0.03715168116456552	0.05813855595105452	0.2936833505684249	0.06375697677446017	0.2415182517128234	0.08788275120799802	0.00865714197793327	0.3045015277583603
